Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0200.a5.txt,1679.84,1324.11,790.51,484.19,5,3,4
2014.a5.txt,2456.6,1137.15,928.82,512.15,5,0,3
0198.a5.txt,2325.58,1099.37,877.38,401.69,2,0,0
2032.a5.txt,1992.03,1065.74,1165.34,398.41,4,1,3
0219.a5.txt,2240.7,1066.54,968.69,655.58,3,0,3
0121.a5.txt,1780.82,1187.21,707.76,441.4,6,0,6
2012.a5.txt,2372.58,966.61,834.8,430.58,5,2,4
1061.a5.txt,1717.67,1263.57,691.02,276.41,15,2,3
2007.a5.txt,1751.92,997.44,805.63,639.39,7,3,2
0119.a5.txt,2063.2,1226.77,827.14,260.22,7,3,3
0139.a5.txt,1510.46,1346.68,591.45,354.87,9,3,5
0102.a5.txt,1891.89,1180.18,1000.0,306.31,7,3,5
0186.a5.txt,2163.38,1068.22,978.46,439.86,6,0,0
2048.a5.txt,1708.59,884.65,1196.88,372.94,14,1,5
0234.a5.txt,1818.18,1055.72,586.51,381.23,10,6,4
2058.a5.txt,1754.22,1144.47,759.85,422.14,8,1,5
0111.a5.txt,1880.25,1176.47,766.81,346.64,7,6,4
1036.a5.txt,1604.2,1094.45,764.62,359.82,5,1,3
0106.a5.txt,2183.54,1054.85,928.27,717.3,2,0,0
0192.a5.txt,1816.5,1223.35,713.62,481.93,9,2,2
1065.a5.txt,2097.24,1115.35,838.89,448.05,10,3,4
1013.a5.txt,1865.89,1253.64,767.74,330.42,3,3,2
0108.a5.txt,2343.21,1184.67,853.66,365.85,7,0,5
0149.a5.txt,2811.42,1349.48,899.65,397.92,1,0,2
1112.a5.txt,2229.73,1216.22,1140.2,582.77,6,0,1
2020.a5.txt,2214.7,1005.8,899.42,280.46,4,1,2
1014.a5.txt,2136.75,1168.09,911.68,408.36,6,3,3
2015.a5.txt,1991.84,1020.41,824.49,359.18,4,2,5
2021.a5.txt,2011.02,1101.93,1083.56,394.86,3,1,5
1050.a5.txt,1793.72,1233.18,852.02,538.12,6,4,1
0178.a5.txt,1695.69,1135.5,885.69,514.76,9,5,3
1055.a5.txt,2035.31,1204.57,1183.8,519.21,1,2,1
