Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
3020.b5.txt,1937.32,940.17,902.18,322.89,9,0,2
0310.b5.txt,1761.73,1169.68,902.53,584.84,9,0,2
0165.b5.txt,1998.34,1127.69,779.44,464.34,10,0,0
1532.b5.txt,1725.35,1426.06,457.75,378.52,12,0,1
1021.b5.txt,1981.4,1151.65,658.08,329.04,12,1,4
2019.b5.txt,1491.9,1236.15,537.08,358.06,6,0,2
1023.b5.txt,1553.0,1397.7,756.25,668.47,12,2,2
0200.b5.txt,1886.79,1118.1,775.68,587.0,7,0,2
0103.b5.txt,1990.58,1224.97,959.95,418.14,13,0,1
3018.b5.txt,1642.23,1136.36,791.79,593.84,7,0,2
1003.b5.txt,1666.67,1236.56,583.72,460.83,8,0,2
2034.b5.txt,1756.99,1110.14,865.38,506.99,10,0,3
1533.b5.txt,1675.1,1348.37,538.43,474.0,14,0,4
2066.b5.txt,1432.43,1549.55,585.59,405.41,7,0,2
2032.b5.txt,1222.15,1546.79,662.0,636.54,11,1,2
0300.b5.txt,2036.89,938.25,866.08,473.14,15,1,10
2028.b5.txt,1476.47,1508.7,522.24,431.98,9,0,5
1100.b5.txt,1953.75,1212.12,789.47,374.8,13,0,2
1508.b5.txt,1383.6,1317.72,461.2,490.48,16,0,4
0140.b5.txt,1580.86,1153.01,638.14,558.38,11,0,1
1057.b5.txt,1800.26,1123.52,913.27,519.05,9,0,1
